Date,Rate,High (est),Low (est)
2001-06-22,244.495,247.53,241.49
2001-06-25,243.621,246.43,240.84
2001-06-26,243.224,0.0,0.0
2001-06-27,242.708,245.39,240.05
2001-06-28,242.415,245.12,239.74
2001-06-29,242.913,245.68,240.18
2001-07-02,242.664,245.37,239.99
2001-07-03,242.443,245.19,239.72
2001-07-04,241.468,244.42,238.55
2001-07-05,241.864,0.0,0.0
2001-07-06,247.0,0.0,0.0
2001-07-09,252.049,255.07,249.07
2001-07-10,252.45,0.0,0.0
2001-07-11,255.376,258.3,252.48
2001-07-12,257.121,260.09,254.19
2001-07-13,255.719,0.0,0.0
2001-07-16,254.508,0.0,0.0
2001-07-17,252.374,255.47,249.31
2001-07-18,249.979,252.75,247.24
2001-07-19,249.03,0.0,0.0
2001-07-20,248.972,251.97,246.01
2001-07-23,248.161,0.0,0.0
2001-07-24,247.352,250.26,244.48
2001-07-25,246.593,249.64,243.58
2001-07-26,246.258,0.0,0.0
2001-07-27,246.912,249.67,244.18
2001-07-30,247.218,249.96,244.51
2001-07-31,247.236,250.21,244.29
2001-08-01,247.772,0.0,0.0
2001-08-02,248.549,251.63,245.5
2001-08-03,248.3,251.26,245.38
2001-08-06,247.33,250.37,244.33
2001-08-07,247.314,0.0,0.0
2001-08-08,246.774,249.82,243.77
2001-08-09,246.884,249.67,244.13
2001-08-10,247.056,0.0,0.0
2001-08-13,246.572,0.0,0.0
2001-08-14,247.116,250.07,244.2
2001-08-15,249.828,0.0,0.0
2001-08-16,253.695,0.0,0.0
2001-08-17,255.873,0.0,0.0
2001-08-20,256.214,0.0,0.0
2001-08-21,256.171,259.08,253.3
2001-08-22,256.287,0.0,0.0
2001-08-23,253.202,256.01,250.43
2001-08-24,251.458,0.0,0.0
2001-08-27,252.445,0.0,0.0
2001-08-28,253.738,256.54,250.96
2001-08-29,253.336,0.0,0.0
2001-08-30,252.46,255.44,249.52
2001-08-31,253.101,256.25,249.99
2001-09-03,252.517,255.31,249.76
2001-09-04,251.992,0.0,0.0
2001-09-05,251.815,254.83,248.83
2001-09-06,252.496,0.0,0.0
2001-09-07,253.442,0.0,0.0
2001-09-10,252.897,255.96,249.87
2001-09-11,255.027,258.03,252.05
2001-09-12,255.015,258.14,251.93
2001-09-13,254.873,257.96,251.83
2001-09-14,254.893,0.0,0.0
2001-09-17,256.729,259.76,253.73
2001-09-18,257.344,0.0,0.0
2001-09-19,257.591,0.0,0.0
2001-09-20,258.322,0.0,0.0
2001-09-21,259.652,0.0,0.0
2001-09-24,261.0,264.01,258.03
2001-09-25,259.927,0.0,0.0
2001-09-26,257.855,261.01,254.74
2001-09-27,257.791,0.0,0.0
2001-09-28,257.083,260.1,254.1
2001-10-01,256.972,0.0,0.0
2001-10-02,257.544,260.49,254.63
2001-10-03,257.59,260.61,254.61
2001-10-04,257.506,0.0,0.0
2001-10-05,257.155,260.22,254.13
2001-10-08,257.99,0.0,0.0
2001-10-09,257.413,260.37,254.49
2001-10-10,255.473,0.0,0.0
2001-10-11,254.603,257.77,251.47
2001-10-12,254.481,0.0,0.0
2001-10-15,254.503,257.31,251.73
2001-10-16,254.588,257.47,251.74
2001-10-17,254.439,0.0,0.0
2001-10-18,254.038,0.0,0.0
2001-10-19,253.849,0.0,0.0
2001-10-22,253.179,0.0,0.0
2001-10-23,251.592,254.69,248.53
2001-10-24,251.935,0.0,0.0
2001-10-25,252.834,0.0,0.0
2001-10-26,252.961,0.0,0.0
2001-10-29,253.523,0.0,0.0
2001-10-30,255.312,258.22,252.44
2001-10-31,255.411,258.48,252.38
2001-11-01,254.998,257.88,252.15
2001-11-02,254.816,0.0,0.0
2001-11-05,253.778,0.0,0.0
2001-11-06,251.951,254.99,248.94
2001-11-07,250.875,0.0,0.0
2001-11-08,250.522,253.64,247.44
2001-11-09,250.913,253.94,247.92
2001-11-12,251.267,0.0,0.0
2001-11-13,250.148,252.99,247.34
2001-11-14,249.574,252.42,246.76
2001-11-15,249.71,252.49,246.96
2001-11-16,250.902,0.0,0.0
2001-11-19,250.648,253.73,247.6
2001-11-20,250.335,253.23,247.48
2001-11-21,250.203,253.22,247.22
2001-11-22,251.121,253.97,248.3
2001-11-23,251.817,254.89,248.78
2001-11-26,251.476,254.27,248.71
2001-11-27,251.951,0.0,0.0
2001-11-28,251.138,254.05,248.26
2001-11-29,251.049,0.0,0.0
2001-11-30,251.654,0.0,0.0
2001-12-03,250.842,253.9,247.83
2001-12-04,249.649,252.67,246.67
2001-12-05,249.177,251.96,246.43
