,Date,Rate,High (est),Low (est),MA12,MA26,PCT_change,Signals
3106,2010-04-26,262.67755126953,263.60504150391,262.09606933594,263.49025472005167,264.32821420522765,0.0,0
3107,2010-04-27,269.45974731445,269.95544433594,261.94784545898,264.01499176025334,264.5086458646327,0.025819473389109282,0
3108,2010-04-28,268.51116943359,271.51196289062,268.19757080078,264.5538762410475,264.6525937593892,-0.0035202952957312794,0
3109,2010-04-29,264.6887512207,269.16839599609,264.69729614258,264.70050048828,264.5908743051373,-0.014235602269183745,0
3110,2010-04-30,268.80676269531,267.57675170898,265.94708251953,265.1480229695625,264.72583242563,0.01555793911006198,0
3111,2010-05-02,269.38409423828,270.18737792969,267.16510009766,265.54950968424333,264.9499570406388,0.0021477567646779328,0
3112,2010-05-03,269.38409423828,270.18737792969,267.16510009766,265.95099639892413,265.1136181171112,0.0,0
3113,2010-05-04,274.99124145508,276.54693603516,268.27883911133,266.85355122884,265.5246194692746,0.020814692985697603,0
3114,2010-05-05,277.26376342773,278.76593017578,275.06399536133,267.98376210530415,266.02302551269383,0.00826397946576507,0
3115,2010-05-06,281.5002746582,283.5895690918,276.91436767578,269.38739267984835,266.6814856896019,0.015279714803316802,0
3116,2010-05-07,278.56723022461,282.25500488281,278.65643310547,270.65935262044087,267.1701742318946,-0.010419330628189671,0
3117,2010-05-09,272.95147705078,279.83309936523,272.92721557617,271.5155131022116,267.38281249999847,-0.020159417779693545,0
3118,2010-05-10,272.95147705078,279.83309936523,272.92721557617,272.3716735839825,267.6186852088327,0.0,0
3119,2010-05-11,274.92831420898,274.90347290039,269.69110107422,272.82738749186,268.04395352876963,0.007242449022659914,0
3120,2010-05-12,271.62539672852,275.24206542969,272.98321533203,273.08690643310416,268.34218656099654,-0.012013740708966658,0
3121,2010-05-13,272.63037109375,273.28720092773,271.28231811523,273.74870808919167,268.70631995567805,0.00369985420116814,0
3122,2010-05-14,276.59259033203,276.96832275391,272.43115234375,274.39752705891834,269.2658597506,0.014533300975911878,0
3123,2010-05-16,276.57360839844,278.4016418457,272.15298461914,274.99665323893163,269.79064237154347,-6.862777331528847e-05,0
3124,2010-05-17,276.57360839844,278.4016418457,272.15298461914,275.595779418945,270.29591604379425,0.0,0
3125,2010-05-18,278.06942749023,279.48263549805,276.5163269043,275.85229492187415,270.8152688833373,0.0054083941719957895,0
3126,2010-05-19,279.49633789062,280.77783203125,278.90985107422,276.0383427937817,271.38950289212613,0.005131489690430424,0
3127,2010-05-20,279.92764282227,283.08755493164,279.4098815918,275.90729014078755,271.9959282508254,0.001543150564708995,0
3128,2010-05-21,278.3984375,280.42224121094,278.84786987305,275.89322408040334,272.5612053504346,-0.005462859283393184,0
3129,2010-05-23,277.62686157227,278.32800292969,277.73239135742,276.28283945719414,273.06005741999616,-0.002771480812387761,0
3130,2010-05-24,277.62686157227,278.32800292969,277.73239135742,276.672454833985,273.6109478290258,0.0,0
3131,2010-05-25,278.47601318359,281.21081542969,277.57135009766,276.9680964152025,274.2185809795665,0.0030586075371490384,0
3132,2010-05-26,277.06970214844,278.35314941406,277.67272949219,277.4217885335292,274.77212524414006,-0.005050025742155628,0
3133,2010-05-27,274.90277099609,277.58044433594,273.81692504883,277.61115519205754,274.98147230881847,-0.007820888157554884,0
3134,2010-05-28,274.43447875977,275.62475585938,272.28369140625,277.43131256103584,275.2092918982869,-0.0017034831428696107,0
3135,2010-05-30,274.47439575195,275.04202270508,273.67303466797,277.25637817382835,275.58566284179653,0.00014545181188752032,0
3136,2010-05-31,274.47439575195,275.04202270508,273.67303466797,277.0814437866208,275.80364872859036,0.0,0
